Rose;Chadwick Sullivan;Brazil;Belo Horizonte
Evangeline;Calvin Christensen;Spain;Madrid
Indigo;Jason Bruce;Netherlands;" 	Assen"
Elijah;Yetta Hoffman;Colombia;Bogota
Timon;Daphne Rosales;Ukraine;Odesa
Nathan;Eve Alston;India;Delhi
Orla;Yolanda Landry;Austria;Vienna
Wade;Thaddeus Reed;Italy;Rome
Elizabeth;Kadeem Key;Italy;Milan
Kellie;Tate Reynolds;India;Bangalore
Hop;Tanner Walls;Colombia;El Encanto
Eugenia;Channing Goodman;Italy;Genoa
Zelda;Jolene Williams;Norway;Oslo
Pandora;Allen Becker;United Kingdom;Londres
Kiona;Anjolie Garcia;South Africa;Alice
Aristotle;Wilma Meadows;Ireland;Belfast
Yasir;Brynne Pugh;Spain;Barcelona
Channing;Lee Sharpe;Ukraine;Dinipro
MacKensie;Lacy Greene;United States;Los Angeles
Paloma;Jade Hansen;Spain;Lugo
Lisandra;Blythe Bowers;India;Lucknow
Lyle;MacKensie Mcgee;Indonesia;Surabaya
Shaine;Jena Shannon;Costa Rica;Alajuela
Hadley;Roth Medina;Belgium;Andenne
Bernard;Idona Blair;Belgium;Bastogne
Seth;Petra Levine;Brazil;Recife
Sophia;Ross Burke;Ukraine;Donetsk
Zoe;Carolyn Blake;Russian Federation;Novosibirsk
Xenos;Marcia Guerra;Austria;Dornbirn
Fallon;Uma Trevino;United States;Chicago
Jocelyn;Keefe Brennan;Australia;Sydney
Francis;Kirsten James;Ukraine;Lviv
Beck;Cody Morrow;Australia;Melbourne
Ivana;Cheryl Huff;Sweden;Stockholm
Quyn;Alvin Ochoa;Peru;Lima
Duncan;Faith Morris;France;Marseille
Graiden;Wang Valenzuela;Philippines;Calaca
Carson;Meredith Mcintosh;Brazil;Porto Alegre
Berk;Quintessa Mckee;New Zealand;Auckland
Ishmael;Erich Short;India;Ahmedabad
Madaline;Steel Dillard;China;Chuzhou
Risa;Hollee Guthrie;Mexico;Morelia
Ashton;Grady Macdonald;United Kingdom;Liverpool
Dana;Patience Grant;Italy;Bologna
Bell;Marcia Austin;Austria;Wels
Yuri;Jenette Webb;Netherlands;Coevorden
Samson;Tiger Barrera;Brazil;Duque de Caxias
Anthony;Hilda Patterson;Belgium;Beringen
